Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,33.310001,34.639999,32.520000,33.259998,24.320297,55281200
2022-11-01,33.540001,33.900002,33.080002,33.369999,24.400728,34269700
2022-11-03,33.110001,33.849998,32.720001,33.459999,24.466537,24872100
2022-11-04,34.200001,34.330002,31.400000,31.709999,23.186911,29167600
2022-11-07,31.389999,31.900000,30.450001,30.629999,22.397194,27442700
2022-11-08,30.379999,30.900000,29.990000,30.629999,22.397194,19140100
2022-11-09,30.520000,31.180000,30.000000,30.059999,21.980400,15928500
2022-11-10,29.309999,30.240000,28.920000,29.690001,21.709850,39818600
2022-11-11,29.610001,31.160000,29.280001,30.700001,22.448380,34866200
2022-11-14,31.070000,32.020000,30.959999,31.549999,23.069914,19816400
2022-11-16,31.750000,31.980000,30.879999,31.200001,22.813990,25165000
2022-11-17,31.200001,31.290001,30.469999,30.959999,22.638496,30514800
2022-11-18,31.160000,31.389999,30.040001,30.389999,22.221703,27497600
2022-11-21,30.940001,31.290001,29.530001,30.280001,22.141270,33579600
2022-11-22,26.719999,27.059999,25.530001,27.059999,22.247242,44857900
2022-11-23,26.610001,27.410000,26.480000,27.070000,22.255463,17851100
2022-11-24,27.100000,28.410000,26.940001,28.120001,23.118715,13776300
2022-11-25,28.080000,28.080000,27.219999,27.490000,22.600765,13019700
2022-11-28,27.379999,28.370001,27.219999,28.170000,23.159822,12320700
2022-11-29,28.400000,29.959999,28.260000,29.379999,24.154617,24509100
2022-11-30,29.549999,30.480000,29.500000,30.389999,24.984983,29533500
2022-12-01,30.219999,30.549999,29.250000,29.250000,24.047739,12067600
2022-12-02,29.240000,30.450001,29.020000,29.629999,24.360153,18444400
2022-12-05,29.700001,30.389999,29.170000,29.230000,24.031296,12452000
2022-12-06,29.500000,30.000000,28.959999,29.180000,23.990191,10532200
2022-12-07,29.170000,29.590000,28.719999,28.740000,23.628447,13339200
2022-12-08,28.740000,29.309999,27.950001,28.120001,23.118715,13407800
2022-12-09,28.240000,28.709999,27.799999,28.059999,23.069386,10363900
2022-12-12,28.000000,28.080000,26.610001,27.299999,22.444557,18581300
2022-12-13,27.459999,27.709999,26.879999,26.930000,22.140364,22207900
2022-12-14,26.230000,26.360001,23.610001,24.290001,19.969902,69775500
2022-12-15,23.799999,25.440001,23.709999,24.910000,20.479630,24269200
2022-12-16,24.860001,25.049999,24.320000,24.980000,20.537182,28123600
2022-12-19,24.900000,25.639999,24.690001,25.549999,21.005802,12963900
2022-12-20,25.530001,26.340000,25.420000,26.170000,21.515533,15549900
2022-12-21,26.559999,26.860001,25.910000,26.860001,22.082815,20946900
2022-12-22,27.100000,27.719999,26.680000,27.170000,22.337679,14139200
2022-12-23,27.389999,28.600000,27.320000,28.559999,23.480459,12490700
2022-12-26,28.459999,28.639999,28.120001,28.469999,23.406466,3655300
